id,calving.vonmises_calving.sigma_max,ocean.th.gamma_T,ocean_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,climate,hydrology,ocean,climate_file,salinity,fractures,frontal_melt,ocean.models,surface.pdd.refreeze,sliding_law,prescribed_retreat_file
0,510402.221452708,5.809241098422476e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,0.00032911221368352975,1.098074332163915,0.32077937256911315,1.4402137929615582,0.17101671251093542,0.9761299985689579,10.163894137356326,1.9236837248404186,1.9404923468190962,2.7649603,3.3169785,0.89317155,0.023033844,5.2802825,44.451836,-280.63187,135.85936,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
1,487025.0055432963,0.00012473001585762693,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,0.00029099077042835585,1.6023640743579786,0.8474172749228701,1.3631804389218334,-0.12133631894613406,0.9877700785093289,7.739285016156425,5.54313449657657,4.296040938464523,2.7091753,3.302388,0.8438914,0.015634898,6.5631676,43.62849,-375.01508,56.43515,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
2,592642.4941612225,9.837620483609804e-05,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,0.0002813114795479219,1.1656515943937495,0.7462423622829604,1.5765870631471675,-0.7840449523407571,1.022796467055085,4.957839470639081,3.9960582570985994,5.825097796038035,2.4058893,3.3383796,0.8252421,0.014940047,5.4536,43.401722,-504.4757,128.18123,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
3,349863.35939754976,0.00014927357268856427,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,0.0002437312105779256,1.5533705659888106,0.45056404065047195,1.5019480824967824,0.21573604758162723,0.9929505593774002,8.049499605813102,0.8354754352918069,2.9342718950758524,2.6465313,3.3368587,0.8222692,0.02016066,6.0266137,43.33644,-347.4347,319.8732,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
4,473683.31544607144,7.828450011589532e-05,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,0.0002594323263284592,1.6453545512571681,0.5625823971051626,1.1779596594558748,0.912266865553979,1.0137949445330847,9.5774473197444,2.3415513539502624,3.186058850606173,2.789697,3.3611588,0.6999765,0.022960307,8.315251,41.20291,-269.16592,197.15063,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
5,368686.4578921471,8.715151309490805e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.0003375880656778899,1.4528539430069065,0.500049314919428,1.7982136572287284,0.5096448957501338,1.003468196717758,11.356601443465948,4.904325545084756,2.049373840245192,2.2004697,3.32091,0.6677042,0.014699996,7.0589676,43.347904,-491.04565,176.15118,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
6,301362.5215380575,0.00011982492618133967,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,0.00030476341140738103,1.2567768688259306,0.5934608299389189,1.651636213483632,0.6160922165328306,0.9967318374622991,4.207235704067573,3.7338898556801006,3.844059271176916,2.5907311,3.3330133,0.63474596,0.020047247,6.4392395,41.85344,-497.85767,278.33426,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
7,428366.07309210434,0.00010307448332568116,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,0.0002658016482333118,1.0006222141444547,0.6568137612369858,1.7097847778268096,-0.32956232118118967,1.0097548291647394,6.50077158127897,3.1246498292806852,5.156599674506373,2.9395335,3.2618675,0.739119,0.021196643,7.3458295,42.13357,-343.47366,292.2153,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
8,401787.4634526238,0.0001398178284699662,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,0.00031565349503543316,1.3087335845399775,0.7074336631508154,1.2787450112330698,-0.8459425484003066,1.0162449843851282,11.143638468117254,4.842537549704024,4.741837461233905,2.7487206,3.3363454,0.83482414,0.016703974,5.67779,43.60995,-352.91354,233.76825,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
9,569231.9529285065,6.425411739983321e-05,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,0.00035322365622119094,1.362962134774432,0.3660614998530003,1.1484383939382998,-0.4464929393848105,0.9802131324815636,6.076004868536737,1.1455769996418388,1.282308381106518,2.3567104,3.3054485,0.7971257,0.016839383,8.785746,40.863197,-377.06775,254.74377,given_pdd_delta,routing,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,routing,th,0.6,pseudo_plastic,pism_g450m_frontretreat_calfin_1972.nc
