id,prescribed_retreat_file,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,climate,hydrology,ocean,climate_file,salinity,fractures,frontal_melt,ocean.th.gamma_T,ocean.models,ocean_file,surface.pdd.refreeze,sliding_law
0,pism_g450m_frontretreat_calfin_1972_2019.nc,464518.43545010686,0.2689208695329599,1.0028655172891443,10.734344073684277,0.5869269811738388,3.242900013909603,2.6731915,3.3336957,0.71374685,0.020420128,9.679233,43.817226,-307.06287,298.02063,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
1,,318307.42521649104,0.5804909043217266,0.9803832334952174,6.554994580080039,5.271311987171265,2.496567918409897,2.6133735,3.2542698,0.6325467,0.015557906,6.8833156,43.150124,-445.05423,303.7567,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
2,pism_g450m_frontretreat_calfin_1972_2019.nc,483486.51978529943,0.45870789481560825,1.008894583416161,9.270878717758798,0.7910108365455616,4.945367558032995,2.459514,3.282283,0.80369896,0.016608898,4.999561,42.113277,-329.1879,100.9712,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
3,pism_g450m_frontretreat_calfin_1972_2019.nc,550403.5735450997,0.9547820130968103,0.995585003082143,10.289704288758408,3.2043302799104123,3.3564910867469986,2.8418217,3.2717927,0.88733876,0.0151189,6.9367933,41.818104,-424.022,77.02394,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
4,,582373.7437475262,-0.22159697635960252,1.0230807554980836,8.170048878416313,4.736427721180247,3.8710188045712255,2.9536533,3.2620523,0.80443937,0.017271766,6.308106,44.34983,-397.50742,220.72534,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
5,,337799.42330674164,-0.5110516634176774,0.9984208500523963,11.232137600445979,5.579919347253912,5.814977870091472,2.5761511,3.2803805,0.7111798,0.019207971,5.772349,43.846306,-335.61328,216.54335,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
6,pism_g450m_frontretreat_calfin_1972_2019.nc,301446.387014214,-0.9072076471326489,0.9915345000606058,11.959431290746199,3.2904950481758,1.2239790569266473,1.9161998,3.2996895,0.73056024,0.013605105,6.6748304,44.25522,-529.6071,211.84181,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
7,pism_g450m_frontretreat_calfin_1972_2019.nc,513338.33751090616,0.3658573173416513,1.0100853143121025,4.098641598104597,5.748578074343793,3.515091951205491,2.6099641,3.2910388,0.6399706,0.020839872,6.8954606,42.266678,-408.73456,225.26578,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
8,,411437.07819350716,-0.7841204395718888,1.0159421958389745,4.6071021387650095,2.2303101906650715,2.899600946065183,2.215987,3.3060703,0.83366615,0.012862137,8.400782,41.63814,-464.1574,144.82513,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
9,,426148.3948033487,-0.10555548696996675,0.9760128908909877,7.974278265809245,4.184780395722646,4.291792756375326,2.050849,3.2912765,0.7577442,0.017021418,8.291048,40.842983,-451.31094,255.10318,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,0.6,pseudo_plastic
