id,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,climate,hydrology,ocean,climate_file,salinity,fractures,frontal_melt,ocean.th.gamma_T,ocean.models,ocean_file,prescribed_retreat_file,surface.pdd.refreeze,sliding_law
0,469439.19880793383,-1.825555400823657,0.9688033029427372,8.674872076477818,2.0209769946244704,3.161969586355215,2.2079089,3.2443924,0.60467976,0.02072009,6.223756,40.564335,-374.16537,270.50034,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
1,615721.3901615752,1.0399080220037895,1.0951906250893177,9.457354173279349,1.5558373281380233,4.320165477851383,2.8328795,3.3213992,0.7898982,0.019095564,5.580072,42.49744,-380.68268,105.972115,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
2,650975.5309819255,-1.086839894366793,0.9536440879995591,4.8848174639422535,4.296093132684816,4.707190513471719,2.6013336,3.317713,0.76819026,0.02043191,7.6218033,41.459526,-294.80008,190.99763,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
3,699906.7751817415,0.6401352381816725,1.0588747527221656,9.699088538422451,3.2670833542079953,5.814448224492467,2.5021336,3.2059643,0.705188,0.023287946,5.226479,40.55359,-357.6419,516.055,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
4,428393.37615652016,-0.7150703957339988,0.9252360370173387,5.966939000869378,1.1552632747055585,2.005470011774021,2.1472683,3.3072565,0.71662134,0.01650941,7.370846,41.553192,-370.55627,227.18538,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
5,459173.74154505687,-0.7801421307214178,1.04376004487763,6.06495772089729,3.675676466379086,2.982342476287671,2.5562866,3.3646276,0.8344094,0.01880786,6.952658,44.712757,-362.5373,224.3277,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
6,589492.3834470196,-0.4374902038068822,1.0616960915486426,8.219505242766608,5.779398610109934,2.6523460667469196,2.6055293,3.3649297,0.882887,0.019558078,8.386697,44.239502,-286.2112,376.39975,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
7,550120.8775605919,0.4575721385887732,0.9036663049725407,7.8398506308016325,5.423872002766787,3.3497579058712637,2.7184472,3.3583717,0.8705755,0.020138415,8.588805,44.37994,-232.0298,262.2313,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
8,688776.0554802851,-0.8956690054961973,1.0763402117490566,6.842820486144873,2.6473356491107745,3.561481401497959,2.4900715,3.2845027,0.8370976,0.020107968,5.4179144,43.45204,-349.0131,455.683,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
9,391197.58350838395,1.8058956971647113,0.9460842400144558,8.327212135466393,3.862962255427059,6.259447699944302,2.6533954,3.1957226,0.7172142,0.019655352,5.68143,41.45115,-303.93008,169.5653,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
10,595021.2167612866,0.7367212655533195,0.9780695930069728,5.519672939076337,1.391223583858674,6.197853395318186,2.8237255,3.3469293,0.8022017,0.018250944,6.7615957,43.475983,-292.99188,39.152866,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
11,642453.6645471167,1.4198786047401328,0.9125690275397152,9.339254997403978,5.054000120153902,6.334812735508278,2.7309124,3.3532846,0.5729625,0.01753438,13.629496,43.77624,-364.496,188.82272,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
12,498952.3151729577,-1.7439529631701627,0.9993680294613405,5.914510619524538,3.932623876815765,6.569135650667383,2.662733,3.316681,0.81954974,0.018789342,7.412417,43.195538,-386.64645,283.79993,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
13,382342.06132394494,0.8948001062124797,1.08266346228119,4.66053943698728,4.348149443802488,6.877771134661116,3.1232295,3.338242,0.69034326,0.017415794,8.780966,43.078278,-435.0829,196.25305,given_pdd_delta,diffuse,constant,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,34,false,off,0.0001,const,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,pism_g450m_frontretreat_calfin_1972_2019.nc,0.6,pseudo_plastic
