id,calving.vonmises_calving.sigma_max,calving.rate_scaling.file,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,prescribed_retreat_file,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,calving.thickness_calving.threshold,climate,fractures,frontal_melt,hydrology,ocean.models,sliding_law
0,379345.9282000555,seasonal_calving_id_5_1900_2025.nc,0.00011235038749034463,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0002838851971794361,1.2303525147224585,0.7025237003587892,1.5210655185648143,pism_g450m_frontretreat_calfin_1972_2019.nc,2.123134,3.2766855,0.8413679,0.016975757,5.4814487,42.054695,-344.75388,275.85342,50,given_smb,false,routing,routing,th,pseudo_plastic
1,622928.3931863204,seasonal_calving_id_1_1900_2025.nc,0.00013572631258320216,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0002502182742820084,1.1435529978702128,0.44707157511655027,1.6160850052128295,,2.160123,3.3535109,0.7966587,0.015945252,8.167392,41.86481,-436.743,287.36707,50,given_smb,false,routing,routing,th,pseudo_plastic
2,401886.84950534534,seasonal_calving_id_2_1900_2025.nc,0.0001275704655448247,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.0002694931454098146,1.3930091135134735,0.7722922935915284,1.232097228810924,,2.2584274,3.2885947,0.63916934,0.024142278,6.0374675,40.71046,-458.89868,414.78302,50,given_smb,false,routing,routing,th,pseudo_plastic
3,359309.6541086359,seasonal_calving_id_2_1900_2025.nc,9.784360269088032e-05,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.00031194125839985743,1.6792991205003414,0.6765443836043562,1.631415842079393,,2.4301603,3.3316615,0.8422035,0.016467124,5.233941,41.80455,-420.0276,328.18338,50,given_smb,false,routing,routing,th,pseudo_plastic
4,449193.9986873009,seasonal_calving_id_2_1900_2025.nc,7.70803802541351e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003029401321498064,1.0204198952778518,0.7819411964833904,1.4338968006235975,,2.942065,3.26128,0.5912892,0.020874674,6.6312346,44.801792,-550.1455,516.5576,50,given_smb,false,routing,routing,th,pseudo_plastic
5,429731.19518330705,seasonal_calving_id_1_1900_2025.nc,9.890604569022594e-05,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.00034639922666672505,1.3429299811529867,0.83261821199621,1.1699339298832414,pism_g450m_frontretreat_calfin_1972_2019.nc,2.8697572,3.2918458,0.71376574,0.027753014,6.940427,44.199738,-365.8419,650.9196,50,given_smb,false,routing,routing,th,pseudo_plastic
6,505648.76696034335,seasonal_calving_id_4_1900_2025.nc,0.00010403766481254232,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00034472548711774007,1.0476738645082138,0.34169850498862886,1.1168955071508344,pism_g450m_frontretreat_calfin_1972_2019.nc,2.597211,3.2535717,0.8391691,0.019702183,6.415715,42.726112,-225.40007,167.93361,50,given_smb,false,routing,routing,th,pseudo_plastic
7,477551.011272695,seasonal_calving_id_0_1900_2025.nc,0.00012144127744082681,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00025688451650653224,1.4310012387772535,0.5614888668987055,1.7409756925468702,pism_g450m_frontretreat_calfin_1972_2019.nc,2.7335684,3.3172615,0.67435247,0.02203199,5.3762136,43.936695,-428.17383,396.67142,50,given_smb,false,routing,routing,th,pseudo_plastic
8,495913.6336149336,seasonal_calving_id_6_1900_2025.nc,8.232115213482595e-05,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00033671201825808187,1.5712873426123215,0.6223918525223384,1.473112340950148,pism_g450m_frontretreat_calfin_1972_2019.nc,2.546658,3.2558146,0.7430103,0.016484534,10.223384,40.86032,-157.69101,94.73569,50,given_smb,false,routing,routing,th,pseudo_plastic
9,562472.4422320724,seasonal_calving_id_5_1900_2025.nc,9.023413480549976e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.0002937605111028171,1.458949556203368,0.7193799847377675,1.227363494165471,,2.5531497,3.2625332,0.7931533,0.016488966,6.5860906,43.422768,-450.9847,315.5284,50,given_smb,false,routing,routing,th,pseudo_plastic
