id,calving.vonmises_calving.sigma_max,calving.rate_scaling.file,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,sia_e,ssa_n,pseudo_plastic_q,till_effective_fraction_overburden,phi_min,phi_max,z_min,z_max,Model,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,calving.thickness_calving.threshold,climate,fractures,frontal_melt,hydrology,ocean.models,prescribed_retreat_file,sliding_law,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent
0,402948.3285021029,seasonal_calving_id_2_1975_2025.nc,0.00010847108220554788,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.00025173954820890694,1.2338928562057943,0.5107300977281276,2.205568319981251,3.0531943,3.2785158,0.8095597,0.023211498,6.7359066,43.95927,-342.08167,425.54465,17.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
1,521960.24670207355,seasonal_calving_id_-1_1975_2025.nc,8.513550253677581e-05,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.00031603750852595124,1.1338507983317048,0.5894249201728718,2.3841609268453796,2.5594025,3.2888606,0.7654235,0.014085366,8.076264,42.198257,-358.27585,109.98415,21.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
2,590460.5498407952,seasonal_calving_id_6_1975_2025.nc,0.00014642233534196313,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0003514948085541434,1.3583232646541714,0.5173777180862514,1.821118248709433,2.9301453,3.359266,0.8130584,0.0144201005,7.7064023,43.83046,-364.6181,54.686604,23.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
3,553638.3277232253,seasonal_calving_id_-1_1975_2025.nc,0.00012336125366103039,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00030178051979938786,1.0297672876342128,0.5741454618303174,2.448276286758904,2.5288918,3.2959242,0.7429214,0.01740923,8.888568,43.191593,-229.01718,192.12808,2.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
4,394071.1239235769,seasonal_calving_id_-1_1975_2025.nc,0.00011602478371195343,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00028251744205105096,1.3449721321842794,0.34178412175624784,2.196019441710968,2.7056146,3.295959,0.7385016,0.014684145,10.895643,41.62684,-178.68765,38.88885,22.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
5,570000.2673175477,seasonal_calving_id_3_1975_2025.nc,0.00014742508203334024,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.0003371425696760109,1.5479875253493975,0.6102621343671926,2.585837636097984,3.2213082,3.3210242,0.61748,0.0214459,9.281372,43.943375,-374.8063,204.67737,25.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
6,400805.81705898396,seasonal_calving_id_4_1975_2025.nc,0.00014458511812377609,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00035422759927802324,1.279715867740038,0.3296417866107256,1.3523434260279452,2.7228086,3.2611685,0.71160537,0.017801192,6.6649833,44.14163,-318.1763,60.071728,17.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
7,647284.6328914182,seasonal_calving_id_3_1975_2025.nc,0.0001331661446960429,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0003561253274739138,1.1291966772867748,0.39722719994392564,2.716937546476179,2.5989294,3.3295715,0.83875054,0.023815863,8.183552,42.236526,-187.63322,313.05875,40.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
8,638097.7224352846,seasonal_calving_id_1_1975_2025.nc,0.00010023945684564016,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0003203475451939718,1.027463255346075,0.5415333609463446,1.498469209055121,2.9163575,3.3101516,0.7068642,0.018554684,10.169976,43.29016,-331.1658,293.97308,2.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
9,643191.144027413,seasonal_calving_id_2_1975_2025.nc,7.994763332753476e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0003312867710131555,1.089300514158557,0.5322969460325644,1.5571311548239435,2.5841825,3.3197818,0.5822166,0.017156709,11.321485,43.757366,-509.64978,394.10693,36.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
10,567245.8900919539,seasonal_calving_id_3_1975_2025.nc,0.00013460737017848467,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.00031384138980244676,1.4278406687549405,0.3092399231461785,2.4164942899292763,2.6153774,3.28521,0.6083828,0.019810403,7.2502394,41.72326,-449.07404,214.1656,37.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
11,383657.84639418626,seasonal_calving_id_6_1975_2025.nc,0.00010489021196112951,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.00030399638099920024,1.2481007260770522,0.4799432480875281,2.4352628269183185,2.0325396,3.356457,0.77692246,0.01590543,10.088269,44.51759,-630.34686,821.77484,15.0,0.7508221,0.01845403,42.79528,7.193718,243.8239,-369.6359,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic,2.608046,3.309718
