id,calving.vonmises_calving.sigma_max,calving.rate_scaling.file,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max,calving.thickness_calving.threshold,climate,fractures,frontal_melt,hydrology,ocean.models,prescribed_retreat_file,sliding_law
0,442399.27318654646,seasonal_calving_id_0_1975_2025.nc,9.310575324544063e-05,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.00031697714471159847,1.688615813997873,0.5635699453463603,1.5519350999403003,2.6601102,3.3581607,0.87468463,0.019746758,7.523882,41.121086,-340.95676,307.04852,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
1,610280.0211445709,seasonal_calving_id_0_1975_2025.nc,0.00012748499780046083,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0002532597948066543,1.2284702159128074,0.30877592051810576,1.1502446040833678,2.5280364,3.239762,0.6261987,0.020029072,9.958255,40.37857,-311.35138,40.310013,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
2,533902.7340358725,seasonal_calving_id_5_1975_2025.nc,0.00010156987234556512,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00026293221428661743,1.375993332145657,0.6449508335978078,2.5042167505386317,2.5444095,3.3278131,0.8407053,0.016669784,9.145487,43.06408,-310.70322,179.46878,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
3,540435.0732743568,seasonal_calving_id_0_1975_2025.nc,8.24633058714223e-05,MAR3.9_CNRM-CM6_ssp585_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.0003369691221750503,1.2737370164599808,0.35599644949785697,1.6863208183653522,3.2018907,3.3309119,0.7444336,0.020341383,9.122324,41.15958,-363.4988,212.53287,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
4,365346.0360445987,seasonal_calving_id_6_1975_2025.nc,0.0001291150665582762,MAR3.9_MIROC-ESM-CHEM_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00035154443263228077,1.2953085702703238,0.3155592609116324,2.1976664043070206,1.9807045,3.3003998,0.7262591,0.014993031,8.409572,42.855083,-357.7597,202.59805,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
5,625775.0925305821,seasonal_calving_id_3_1975_2025.nc,0.00011515434193649265,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00033547937695560157,1.139193217114686,0.4968788164420314,1.3275185719587095,2.5417511,3.326942,0.8046925,0.02155403,6.689741,41.30233,-327.15573,201.41106,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
6,402388.9406425159,seasonal_calving_id_3_1975_2025.nc,9.530803362371432e-05,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.0002588237883616744,1.1900662113057372,0.5851784196270826,1.949997790416643,2.5453248,3.3519819,0.83037615,0.01579174,6.9651136,44.016457,-265.91962,88.068535,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
7,567206.7905798099,seasonal_calving_id_4_1975_2025.nc,0.00014654036057802988,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.0002967712409280188,1.0486975282252025,0.4722479364468417,1.6881335714439734,3.019852,3.323387,0.71596926,0.023913639,9.479254,42.918285,-161.39474,181.95378,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
8,611306.4149303349,seasonal_calving_id_2_1975_2025.nc,0.00013469431590476758,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0003099387847328021,1.4668225497300011,0.5062619127390093,1.393586119145624,2.3278465,3.3086252,0.65787774,0.015055009,10.077269,42.754486,-387.3943,251.15685,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
9,560586.2818225273,seasonal_calving_id_0_1975_2025.nc,7.622581182031149e-05,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5-1975_2023.nc,0.0003583940246900347,1.3996770053642884,0.4433085764183439,1.5826163287471582,2.639296,3.2864563,0.73654133,0.0285654,6.800165,42.16663,-326.42966,806.69885,50,given_smb,false,routing,routing,th,pism_g450m_frontretreat_calfin_1972_2019.nc,pseudo_plastic
