id,calving.vonmises_calving.sigma_max,delta_T,frac_P,surface.pdd.factor_ice,surface.pdd.factor_snow,surface.pdd.std_dev.value,prescribed_retreat_file,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max
0,465872.0972377501,-1.1272633877453329,1.0474251603212934,9.60291974669858,4.697325801060566,2.6020327998194692,,2.661359,3.2993681,0.750177,0.020129617,7.8896694,42.51828,-312.70282,241.48326
1,503995.46120689635,0.0016337631883183157,1.0073792744907017,8.439956018912753,2.807767378429075,6.819947640169965,,2.6465678,3.261941,0.73489726,0.021212414,5.0162063,44.26073,-405.02768,299.23935
2,381846.1428716514,-0.2622490151646284,1.0033440232235402,4.17914383598609,1.4212253581086058,2.0734783077271612,pism_g450m_frontretreat_calfin_1972_2019.nc,2.0976756,3.3460138,0.78598523,0.016736556,7.7544513,44.790546,-567.99567,262.66394
3,403156.0087575269,1.6148155124996282,1.0907467665697075,4.9465691401219,2.2266339686228416,4.068397518931295,,2.4879715,3.310566,0.8036797,0.01902361,7.913944,43.862152,-281.11404,227.20343
4,471713.1680497248,-0.42211083111994263,0.9054360517169217,5.613310343525063,4.5468780484258,2.721521286634854,,2.43549,3.2802124,0.5937287,0.016813403,9.361291,42.887398,-466.74573,321.14532
5,630634.4731763923,-1.70699050780653,0.9205815432432961,4.119774220260841,3.119527301967653,3.4252090973657854,,2.756032,3.353116,0.8096107,0.017243376,7.7815337,41.66421,-282.33823,67.361176
6,587246.8913420001,0.7727711320864086,0.9649526894752346,5.31738587767741,1.7507563673576478,6.549032871130794,,2.7982368,3.3534536,0.83709407,0.015611906,6.763331,43.60057,-446.3061,142.7418
7,525787.7306550527,-0.2121187647245013,0.9808637239991607,9.85593718342694,2.6694735401669543,3.1025361759205743,,2.0645869,3.2807777,0.67947024,0.014203893,6.909544,42.304844,-425.20972,152.57025
8,451963.120749508,1.3167851091104246,1.0404181366491767,5.108701953259471,3.6143192107785875,3.3366988776937663,pism_g450m_frontretreat_calfin_1972_2019.nc,2.2538998,3.2732015,0.8226948,0.018496841,8.454736,44.365917,-275.96945,84.46478
9,566115.8331344363,-0.7758167659141446,0.9281852524716904,9.183464990185334,5.2423518380414285,2.5502109618216005,,2.9808662,3.321046,0.57277244,0.020152004,10.383315,42.513153,-424.3006,271.17288
10,511965.69635516766,0.24615789852671455,1.0485752877173613,8.119851794409874,5.761427683384301,6.168962759701379,,3.0073493,3.265519,0.7935954,0.025315948,5.7211804,40.102077,-361.6179,454.64587
11,598323.9418964649,0.37378749015593193,1.075006705026141,5.492421478747257,5.4713642630933395,4.852787436665526,,3.1366198,3.293767,0.7459429,0.022060942,9.079608,41.763016,-290.77875,290.61975
12,579525.0917025337,0.8758644102106792,0.9198545105660865,4.588575119445835,4.381921336456676,4.270482746975375,pism_g450m_frontretreat_calfin_1972_2019.nc,2.4337993,3.3034785,0.7442057,0.019744003,9.815058,40.19624,-280.61505,270.48212
13,456172.90710739524,0.08939293928223968,1.0602865389531035,4.76173962844224,2.9196402418087497,5.932753425873343,pism_g450m_frontretreat_calfin_1972_2019.nc,2.7185562,3.3092988,0.69464165,0.01689929,6.1824756,42.786907,-451.73166,291.28522
