id,calving.vonmises_calving.sigma_max,ocean.th.gamma_T,ocean_file,calving_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max
0,386560.0768753161,8.13271634933701e-05,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,5.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.00034937352103140307,1.474795844996708,0.5095138078616008,1.1819296264631118,2.2477646,3.3422308,0.929585,0.019599108,5.979581,44.46726,-288.86465,313.13437
1,604389.5131040886,8.086956045754765e-05,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,6.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.00028188615857068123,1.1722510063568634,0.6848547579429523,1.9743036736046409,2.3151028,3.2746713,0.6364032,0.01727782,6.5056705,42.999187,-380.30423,255.5506
2,423192.2212727464,9.190130593478835e-05,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,6.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0003104425457149666,1.2360548991841411,0.499464741319215,1.6466919925148367,2.9474716,3.3919442,0.7990174,0.018692842,8.025678,42.41395,-419.41748,224.4275
3,478478.08450828365,0.00013167563949472374,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,6.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0002722131918532244,1.1299768969997266,0.3900502764055266,1.6317581192164243,2.8252194,3.3767445,0.9094694,0.016088586,8.923203,44.241093,-333.355,224.75279
4,503752.9510904396,0.00014564440825133075,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,2.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0002562118423723995,1.3062171904869668,0.5712623388888969,1.1302769633633831,2.3012266,3.253781,0.5762697,0.017059296,5.7860203,44.749363,-490.82135,277.76486
5,573610.9606218184,9.973530783246542e-05,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,3.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.00024197916892012943,1.2026170461650183,0.32257453547724624,2.3226155339345067,2.2568555,3.2898824,0.6121337,0.017326815,6.302028,42.913918,-481.03,390.4775
6,354000.6781646279,0.00011431207900436854,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,6.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0003227652702207977,1.2784501719415116,0.5867539882064814,1.4763918895302144,2.5018094,3.2922974,0.6928033,0.018289797,7.6702323,44.194214,-520.7676,549.39636
7,591609.6036988634,0.00012243553514779858,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,2.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0003028295058383185,1.0949174087034705,0.42584630845726745,1.3941256922802658,2.6457112,3.3274665,0.8352064,0.020958351,6.7987156,43.248734,-414.58984,530.72705
8,643027.6331327192,0.00012367730936934063,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,3.0,DMI-HIRHAM5_ERA_1975_2021_EPSG3413_4500M_MM.nc,0.0002482494842599071,1.5398288628022083,0.525887549664274,1.83047625383792,2.8431473,3.3498533,0.6881931,0.018531786,7.714688,42.357517,-444.86398,278.66522
9,416266.0975479601,0.00013583391645598768,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,5.0,MARv3.14-monthly-ERA5-1975_2023.nc,0.0002863851371174192,1.0383315924987235,0.4523659680364277,1.759838238094237,2.296913,3.347965,0.7840138,0.02065651,8.089359,44.5427,-386.36053,535.0539
