id,calving.vonmises_calving.sigma_max,ocean.th.gamma_T,ocean_file,climate_file,frontal_melt.routing.parameter_a,frontal_melt.routing.parameter_b,frontal_melt.routing.power_alpha,frontal_melt.routing.power_beta,prescribed_retreat_file,stress_balance.sia.enhancement_factor,stress_balance.ssa.Glen_exponent,basal_resistance.pseudo_plastic.q,basal_yield_stress.mohr_coulomb.till_effective_fraction_overburden,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_min,basal_yield_stress.mohr_coulomb.topg_to_phi.phi_max,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_min,basal_yield_stress.mohr_coulomb.topg_to_phi.topg_max
0,718016.1147401968,0.00013404605379107253,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.00033499619677198944,1.0917600362593816,0.3590218125057649,1.642758533037079,pism_g450m_frontretreat_calfin_1972_2019.nc,2.2621584,3.3357887,0.8074952,0.014673254,8.961181,44.686466,-312.50012,220.87704
1,599133.4561905103,0.0001176414301390348,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003007748823736235,1.6990407139311514,0.37428982440077785,1.304057066164452,pism_g450m_frontretreat_calfin_1972_2019.nc,2.7164664,3.2902627,0.6465241,0.018323373,9.054141,43.240192,-331.87802,274.0048
2,308266.44502370124,0.00014246904566912787,MAR3.9_NorESM1-M_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.00034335424647873546,1.5422978392424573,0.42636719775151766,1.7039800825433158,pism_g450m_frontretreat_calfin_1972_2019.nc,2.1697352,3.2843962,0.705458,0.025246784,5.7246923,41.11263,-330.06906,566.39734
3,654653.18482788,0.00012218179487915535,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0002892973445749209,1.3516362691707278,0.7755580464299539,1.144302835027269,,3.392918,3.3216896,0.74175936,0.018139072,7.858464,43.57508,-360.21506,157.43283
4,409518.6491126141,8.38718752742969e-05,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00030754165344779684,1.2811313466781837,0.5651103028325908,1.3432457748209974,,3.1673665,3.2555838,0.7280446,0.022457588,7.193123,43.652184,-215.89926,316.49246
5,338009.5633942983,0.00010814476654843469,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0002506913773566046,1.2186897582828968,0.5505195950986004,1.3752412201978776,pism_g450m_frontretreat_calfin_1972_2019.nc,2.2192874,3.2973568,0.7215859,0.017265484,8.0320015,40.770084,-430.50372,300.34598
6,301776.9602174609,0.00012752930842379814,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00029275514958069447,1.1433198101813768,0.8469041670513338,1.6497658768820422,,2.4629633,3.3033175,0.70115685,0.021979328,5.3893986,40.137863,-474.96338,346.1227
7,666720.0830678343,0.000123774400553858,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.00024163875126560804,1.3991680578451362,0.6662679952416066,1.4286531849158277,,3.253281,3.3487582,0.79570687,0.022440396,7.5477242,44.072536,-279.7548,313.03253
8,462017.1820240931,0.00013580332084591848,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00032879014955029096,1.2364232475743786,0.519152438362533,1.244066269125359,,2.6197596,3.3310316,0.7621639,0.018537806,6.556362,43.701897,-288.97305,159.9263
9,626909.725972109,0.0001293804072982503,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.00025369570768113533,1.1348720095433023,0.46961370159042876,1.5179771213270292,,3.0759413,3.2038891,0.52267325,0.028899966,6.7290826,44.15008,-339.48257,290.25433
10,545726.0332928502,0.0001248046912308761,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0002899535686087847,1.6809303436642713,0.8405965933211816,1.5572988433857666,,2.9569376,3.2705693,0.60861325,0.02473332,6.533235,41.776745,-379.50995,415.66687
11,652121.1385709925,0.0001465127971518437,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.0003311993049779965,1.2373672743675785,0.5209615922009764,1.3779771562030794,pism_g450m_frontretreat_calfin_1972_2019.nc,2.8414137,3.3286662,0.63325346,0.023398636,10.567346,41.482597,-324.4161,255.76831
12,695438.3893077879,0.00013967586327027148,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.0002633327590956716,1.3593034914147026,0.41123383152586124,1.2333665915808403,,2.2822475,3.2902505,0.7447889,0.017875092,6.3548837,41.26796,-333.47595,171.17903
13,584078.7386964214,0.00013217665772651037,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.0002937559684520561,1.6303858078992643,0.7615480794585874,1.2022150984483215,,2.4808018,3.3076537,0.8604445,0.020033512,6.5194163,40.47906,-273.65616,285.23553
14,602248.8724981406,0.00014606535906119215,MAR3.9_CNRM-ESM2_ssp585_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.00028488499321298577,1.1662743935677855,0.3908704011488944,1.612228884216702,,2.68974,3.3183398,0.8453544,0.01910438,5.8241177,40.389877,-312.0336,217.78905
15,542965.3206203631,0.00011873015515183613,MAR3.9_HadGEM2-ES_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.00028677316501182087,1.2523218577884043,0.38952526413488436,1.1093033153174692,,2.65348,3.3013873,0.69073874,0.021993272,6.6944566,43.116726,-442.77274,509.15884
16,609505.0254737099,0.00010723836362935339,MAR3.9_IPSL-CM5-MR_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0002653613844411624,1.5484942149628385,0.4857810463875374,1.7571566801737069,,2.42457,3.3303485,0.87103826,0.01706865,12.570537,43.605972,-216.32617,125.487755
17,469751.5321621798,0.00011907910188136118,MAR3.9_UKESM1-CM6_ssp585_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.00034407623866891993,1.6889898159415668,0.6851332729443055,1.5017987625677127,pism_g450m_frontretreat_calfin_1972_2019.nc,2.0836127,3.3072124,0.5978768,0.016076984,8.906322,43.043964,-519.7434,340.52084
18,665165.2872013707,8.110396640867176e-05,MAR3.9_ACCESS1-3_rcp85_ocean_1960-2100_v4.nc,HIRHAM5-monthly-ERA5_1975_2021.nc,0.0003250693460390383,1.2788366426229207,0.464771786502999,1.6332813295182516,pism_g450m_frontretreat_calfin_1972_2019.nc,2.6512353,3.3199747,0.81843174,0.017776595,6.333105,42.45584,-364.82593,248.23355
19,664713.8290887976,0.0001171860161919408,MAR3.9_MIROC-ESM-CHEM_rcp26_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.00035705050537874903,1.6857428986286198,0.3035284627685465,1.783770652937959,pism_g450m_frontretreat_calfin_1972_2019.nc,2.7503061,3.3574874,0.8891448,0.020167535,6.1169286,44.579075,-578.83856,576.7525
20,761623.7178382445,0.00012557930363401212,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,RACMO2.3p2_ERA5_FGRN055_1940_2023.nc,0.0002727442096213669,1.0338552439891344,0.5161506818441326,1.3208316943631337,pism_g450m_frontretreat_calfin_1972_2019.nc,2.4359722,3.2896488,0.6175495,0.015921,5.7500687,43.790745,-509.77124,137.17651
21,564639.9992033956,8.885210704159357e-05,MAR3.9_CNRM-CM6_ssp126_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.00030353148608243234,1.4827414475286487,0.39397809849999266,1.3397785875372452,,2.713018,3.3098683,0.63988936,0.017992627,6.0986433,41.55574,-542.48096,326.11896
22,759864.7116846335,0.0001261701112331931,MAR3.9_CSIRO-Mk3.6_rcp85_ocean_1960-2100_v4.nc,MARv3.14-monthly-ERA5_1940_2023.nc,0.0003408873311442548,1.268293393685307,0.5630849928251664,1.3216349681056268,pism_g450m_frontretreat_calfin_1972_2019.nc,2.78479,3.3523781,0.8026344,0.018111965,8.6202545,42.1653,-394.95557,191.03786
